City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Surazh,RU,53.0175,32.3918,58.14,94,18,11.14,few clouds
214,Malakal,SS,9.5334,31.6605,69.51,93,98,3.56,overcast clouds
215,Emerald,AU,-23.5333,148.1667,63.34,77,40,6.91,scattered clouds
216,Nichinan,JP,31.6,131.3667,79.75,83,49,5.77,scattered clouds
217,Hasanpur,IN,28.7167,78.2833,79.57,90,12,9.82,few clouds
218,Batie,BF,9.8833,-2.9167,74.91,75,90,4.5,overcast clouds
219,Namatanai,PG,-3.6667,152.4333,82.74,74,31,5.77,scattered clouds
220,Marrakesh,MA,31.6315,-8.0083,75.27,57,0,9.22,clear sky
221,Togur,RU,58.3631,82.8265,55.11,91,100,3.36,overcast clouds
222,Muros,ES,42.7762,-9.0603,61.99,81,84,7.56,broken clouds
223,Yakeshi,CN,49.2833,120.7333,62.42,78,37,3.49,scattered clouds
224,Clyde River,CA,70.4692,-68.5914,39.43,93,90,6.91,overcast clouds
225,Cabo San Lucas,MX,22.8909,-109.9124,98.82,66,45,12.26,scattered clouds
226,Port Hardy,CA,50.6996,-127.4199,64.58,63,40,12.66,scattered clouds
227,Talnakh,RU,69.4865,88.3972,68.34,52,100,4.99,overcast clouds
228,Alghero,IT,40.5589,8.3181,69.89,73,0,1.14,clear sky
229,Yining,CN,29.0361,114.5636,79.9,84,1,2.91,clear sky
230,Zhanaozen,KZ,43.3,52.8,85.06,17,7,7.78,clear sky
231,Dong Xoai,VN,11.5333,106.9167,73.76,98,100,2.57,overcast clouds
232,Camana,PE,-16.6228,-72.7111,63.23,80,24,5.95,few clouds
233,Tual,ID,-5.6667,132.75,81.84,71,97,19.35,overcast clouds
234,Kochevo,RU,59.5994,54.3125,58.35,95,79,2.71,broken clouds
235,Conakry,GN,9.538,-13.6773,78.87,89,75,6.91,broken clouds
236,Meulaboh,ID,4.1363,96.1285,74.46,85,75,5.3,light rain
237,Figeac,FR,44.75,1.9167,58.08,82,7,2.66,clear sky
238,Nandgaon,IN,20.3167,74.65,74.62,81,100,17.98,overcast clouds
239,Tazovskiy,RU,67.4667,78.7,55.42,84,55,6.53,broken clouds
240,Rameshki,RU,57.3439,36.0453,60.31,92,95,15.61,overcast clouds
241,Port Macquarie,AU,-31.4333,152.9167,60.89,91,100,15.79,overcast clouds
242,College,US,64.8569,-147.8028,84.15,42,20,6.91,few clouds
243,Tramandai,BR,-29.9847,-50.1336,51.78,87,0,6.11,clear sky
244,Najran,SA,17.4924,44.1277,81.25,45,100,12.93,overcast clouds
245,Gboko,NG,7.3179,8.9951,73.38,91,100,9.62,light rain
246,Banda Aceh,ID,5.5577,95.3222,79.16,79,92,13.49,overcast clouds
247,Kalmunai,LK,7.4167,81.8167,79.43,67,99,3.4,overcast clouds
248,Poltsamaa,EE,58.6525,25.9706,58.98,97,99,6.6,overcast clouds
249,Norman Wells,CA,65.282,-126.8329,84.24,34,20,6.91,smoke
250,Mori,JP,34.8333,137.9333,83.68,89,100,7.67,overcast clouds
251,Roma,US,43.2128,-75.4557,72.43,54,20,16.11,few clouds
252,Kholodnyy,RU,62.7167,147.95,46.98,56,8,4.14,clear sky
253,Salto,UY,-31.3833,-57.9667,53.87,82,0,4.0,clear sky
254,Kushmurun,KZ,52.4503,64.6311,69.08,56,54,5.55,broken clouds
255,Madimba,TZ,-10.4,40.3333,70.18,82,42,7.63,scattered clouds
256,Mamallapuram,IN,12.6264,80.1722,84.25,59,100,10.38,overcast clouds
257,Mezen,RU,65.8522,44.24,55.02,97,51,5.26,broken clouds
258,Baherden,TM,38.4362,57.4316,86.86,16,11,7.61,few clouds
259,Kuybysheve,UA,47.358,36.6491,72.66,60,27,7.07,scattered clouds
260,Steinbach,DE,50.1667,8.5667,60.08,92,20,2.3,few clouds
261,Makakilo City,US,21.3469,-158.0858,86.32,51,20,17.27,few clouds
262,Namtsy,RU,62.7161,129.6658,66.31,53,98,7.83,overcast clouds
263,Aqtobe,KZ,50.2797,57.2072,66.29,72,0,0.0,clear sky
264,Nalut,LY,30.3333,10.85,88.0,15,0,12.73,clear sky
265,Teguldet,RU,57.3064,88.1667,54.16,87,83,2.21,broken clouds
266,Tianpeng,CN,30.9866,103.9393,77.47,53,4,5.01,clear sky
267,Nurota,UZ,40.5614,65.6886,77.09,18,0,5.86,clear sky
268,Cayenne,GF,4.9333,-52.3333,81.09,82,37,3.44,scattered clouds
269,Taoudenni,ML,22.6783,-3.9836,94.41,32,86,12.17,overcast clouds
270,Hobyo,SO,5.3505,48.5268,77.36,76,49,23.09,scattered clouds
271,Waipawa,NZ,-41.4122,175.5153,48.83,87,100,12.15,overcast clouds
272,Tautira,PF,-17.7333,-149.15,82.42,73,99,14.03,overcast clouds
273,Ternate,ID,0.8,127.4,82.51,75,58,5.73,broken clouds
274,Fukue,JP,32.6881,128.8419,81.32,77,49,14.61,scattered clouds
275,Kaitangata,NZ,-46.2817,169.8464,48.92,64,100,10.65,overcast clouds
276,Northam,GB,51.0333,-4.2167,58.01,88,23,6.04,few clouds
277,Arroio Dos Ratos,BR,-30.0772,-51.7292,52.79,94,1,3.15,clear sky
278,Lakes Entrance,AU,-37.8811,147.981,48.18,86,100,9.84,overcast clouds
279,Januaria,BR,-15.4833,-44.3667,67.15,36,53,1.48,broken clouds
280,Moose Factory,CA,51.2585,-80.6094,68.0,77,90,6.91,overcast clouds
281,Ballina,AU,-28.8667,153.5667,66.16,94,90,8.05,overcast clouds
282,Takoradi,GH,4.8845,-1.7554,76.59,85,56,6.17,broken clouds
283,Deer Lake,CA,49.1667,-57.4316,69.66,56,75,8.05,broken clouds
284,Barillas,GT,15.8036,-91.3158,82.74,87,88,2.93,overcast clouds
285,Leningradskiy,RU,69.3833,178.4167,33.17,100,100,10.02,snow
286,Rosario,AR,-32.9468,-60.6393,57.81,51,0,1.99,clear sky
287,Saskylakh,RU,71.9167,114.0833,66.43,54,26,8.66,scattered clouds
288,Aitape,PG,-3.1374,142.3475,82.44,77,80,6.2,broken clouds
289,Sola,VU,-13.8833,167.55,75.16,59,87,13.29,overcast clouds
290,Bac Lieu,VN,9.285,105.7244,79.29,84,98,9.82,overcast clouds
291,Jiangyou,CN,31.7667,104.7167,74.95,80,11,5.12,few clouds
292,Basoko,CD,1.2391,23.616,74.52,77,99,1.05,overcast clouds
293,Umm Lajj,SA,25.0213,37.2685,88.68,46,6,1.5,clear sky
294,Sterling,US,39.0062,-77.4286,82.4,50,20,11.99,few clouds
295,Maragogi,BR,-9.0122,-35.2225,73.04,89,35,10.29,scattered clouds
296,Verkhoyansk,RU,67.5447,133.385,67.44,34,1,3.85,clear sky
297,Alyangula,AU,-13.8483,136.4192,69.67,100,75,0.0,mist
298,Lensk,RU,60.7253,114.9278,59.9,90,98,4.07,overcast clouds
299,Aksu,CN,41.1231,80.2644,74.52,32,94,11.5,overcast clouds
300,Talara,PE,-4.5772,-81.2719,70.56,73,0,13.8,clear sky
301,Waitara,NZ,-38.925,174.25,50.72,85,90,13.15,overcast clouds
302,Khatanga,RU,71.9667,102.5,67.64,58,80,10.67,broken clouds
303,Gavrilov Posad,RU,56.5597,40.1175,66.63,90,56,14.7,light rain
304,Cap-Aux-Meules,CA,47.3821,-61.8597,59.05,88,90,8.05,moderate rain
305,Zhuhai,CN,22.2769,113.5678,82.71,89,40,8.05,light intensity shower rain
306,Victoria,HK,22.2855,114.1577,84.33,92,100,1.01,light rain
307,Bumba,CD,2.1833,22.4667,72.34,86,99,2.39,overcast clouds
308,Ixtapa,MX,20.7,-105.2,88.83,66,40,14.97,scattered clouds
309,Tadine,NC,-21.55,167.8833,71.08,60,7,7.63,clear sky
310,Sorland,NO,67.667,12.6934,50.18,73,98,10.85,overcast clouds
311,Lasa,IT,46.6166,10.7002,58.08,91,53,0.51,broken clouds
312,Candido Mendes,BR,-1.4467,-45.7167,74.07,89,55,2.95,broken clouds
313,Torbay,CA,47.6666,-52.7314,65.48,74,100,6.4,overcast clouds
314,Kutum,SD,14.2,24.6667,72.86,65,34,13.65,scattered clouds
315,Khandyga,RU,62.6667,135.6,71.19,48,47,0.38,scattered clouds
316,Acajutla,SV,13.5928,-89.8275,100.74,73,100,6.2,overcast clouds
317,Temiscaming,CA,46.7212,-79.0971,72.95,43,85,6.91,overcast clouds
318,Amboasary,MG,-25.0333,46.3833,66.04,83,9,3.69,clear sky
319,Kenai,US,60.5544,-151.2583,77.02,56,1,8.05,clear sky
320,Karratha,AU,-20.7377,116.8463,58.48,27,6,17.4,clear sky
321,Nakonde,ZM,-9.3421,32.745,51.48,76,0,5.82,clear sky
322,Edendale,ZA,-29.6528,30.3147,52.63,94,87,2.53,overcast clouds
323,Muzhi,RU,65.3667,64.6667,51.35,85,72,0.92,broken clouds
324,Haimen,CN,23.1935,116.6142,80.49,87,60,2.24,broken clouds
325,Picota,PE,-6.9197,-76.3304,88.29,74,60,0.16,broken clouds
326,Rongcheng,CN,30.634,117.8517,78.66,93,48,6.42,light rain
327,Klaksvik,FO,62.2266,-6.589,49.12,85,100,11.56,overcast clouds
328,Tilichiki,RU,60.4667,166.1,51.76,48,73,21.61,broken clouds
329,Lodja,CD,-3.4833,23.4333,72.28,40,89,0.18,overcast clouds
330,Gibsons,CA,49.3997,-123.5027,89.76,67,1,1.63,clear sky
331,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,81,0,6.04,clear sky
332,Halifax,CA,44.6453,-63.5724,62.65,89,90,1.01,overcast clouds
